Date,DI_25_Return_Log,DI_26_Return_Log,DI_27_Return_Log,DI_28_Return_Log,DI_29_Return_Log,DI_30_Return_Log,DI_31_Return_Log,DI_32_Return_Log,DI_33_Return_Log,DI_35_Return_Log,DAP25_Return_Log,DAP26_Return_Log,DAP27_Return_Log,DAP28_Return_Log,DAP30_Return_Log,DAP32_Return_Log,DAP35_Return_Log,DAP40_Return_Log,WDO1_Return_Log,IBOV_Return_Log,TREASURY_Return_Log,S&P_Return_Log
2020-01-09,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,0.00024541354683657975,-0.0008658045882651669,-0.0003920611212639012,-0.0008518473514501177,-0.0014016107220651893,-0.0015816974636495107,-0.0017614577074942794,,,,0.0014675928230830724,0.002751238532720662,,0.003144346880232604,0.0025132430575619193,,0.002975546699743948,,-0.001426948875279043,-0.005454911516309693,2.6716108247133323e-05,-0.004866924747722139
2020-01-11,,,,,,,,,,,,,,,,,,,,,,
2020-01-12,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,0.0030378038899614933,0.003602957555397309,0.004159115952530635,0.004347039330363831,0.004435949694363485,0.004434694477004613,0.00434547557594799,,,,0.0037785848955965195,0.00323682353559253,,0.004839195439176768,0.0037585190991914676,,0.006598762180084934,,-0.0017274877372519249,0.0008826500441490856,-3.177342606981121e-05,-0.0031724098487911166
2020-01-15,0.0030349670706045677,0.003321192247168504,0.002857342063418223,0.0028610152142354343,0.0027680103034255785,0.0030459734520186035,0.003327340833736167,,,,0.0032588844026280647,0.0013202377453791687,,0.0006942519472380129,0.0007038589193643027,,-0.0007582098680930536,,0.010036953927009826,-0.0095638227051591,0.01160842300112026,0.010265238370416522
2020-01-16,-0.0048656573256503554,-0.0058797409335113555,-0.006880769215397925,-0.007891109501534505,-0.008886506628388885,-0.009428364636257618,-0.009882963489932877,,,,0.0018005152342262987,-0.0022909735219412276,,-0.003040072785272828,-0.005820101965905658,,-0.005590623412095223,,0.004797732647346825,0.001891031003982725,0.003347054849156181,0.014263556232281876
2020-01-17,0.002567022928213918,0.00303921010907776,0.004801054362103873,0.00582275210728182,0.006926083145079557,0.00766184428017881,0.008403586798341165,,,,0.0007647452581625322,0.00025847656417917766,,0.0019254919510708016,0.0002811732461027845,,0.0032288521949183687,,-0.006980550483303485,0.014849279664439684,-0.007827945800526799,-0.0036697874892567504
2020-01-18,,,,,,,,,,,,,,,,,,,,,,
2020-01-19,,,,,,,,,,,,,,,,,,,,,,
2020-01-20,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,0.002562632963671927,0.0034801409497098373,0.0028516500760215513,0.002485825176429847,0.0019325752006731664,0.0021189833415761606,0.002307963129511634,,,,-0.0007784543862609292,0.0002603618218546354,,0.0019243588953832,-0.0007327426440766613,,0.0002907082321223548,,0.0014408951434361004,-0.015399629124963385,0.005549554034436364,-0.00021460978730440536
2020-01-22,0.0020965669679750875,0.0021981998749744202,0.0022018344865447573,0.0017440978328069007,0.0035937788598508612,0.0039632425678421054,0.004336671924969539,,,,0.0033406614346138566,0.0047120634912266035,,0.004404170567454125,0.007389059315381952,,0.006165335980256349,,-0.0030130679194082205,0.010922675395904576,-0.003254650261763192,-0.001056856325749396
2020-01-23,-0.0006831802840546877,-0.00019431175296248781,-0.00039007719904623366,0.0006330494058357217,0.0010988828827164627,0.001193766673514609,0.0012906605869492927,,,-0.04414592555597621,0.0023069196464944926,-0.0003778732241640845,,-0.0005572934665334074,0.0002799358654163162,,0.00028913406300971867,,-0.004879470994184347,0.010429128016999288,-0.003071721242254891,-0.0048043084551583045
2020-01-24,0.0011680833960038255,0.001361567299407999,0.002199103534715597,0.001742152193795476,0.001098404529177648,0.0011931273912189572,0.0012900595969341272,,0.0014816451018333113,0.0016691579764945186,-0.0013522454059379167,0.0008348791328329327,,0.0010366481524269157,0.0022509212662953568,,0.00463467142741787,,0.004986222119321911,-0.01048816910539672,0.008831457847950138,-0.004908492091829329
2020-01-25,,,,,,,,,,,,,,,,,,,,,,
2020-01-26,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,0.003013623885443915,0.003579456274800589,0.004136607975494705,0.004326735844002037,0.004417653632463696,0.004879116937646954,0.005345324160097203,,0.006275072954322385,0.007193655381561411,0.00280789659584134,0.0021532265576018838,,0.004387074124170452,0.005342417953581818,,0.003215543447138274,,-0.0016111776472533975,0.01867839969903653,-0.003762613334256684,0.01142481709519465
