Resume as transações realizadas em derivativos durante um pregão, incluindo volumes e valores.

Instrumento financeiro;Código ISIN;Segmento;Preço de abertura;Preço mínimo;Preço máximo;Preço médio;Preço de fechamento;Oscilação;Ajuste;Ajuste de referência;Preço de referência;Variação;Valor do ajuste por contrato (R$);Última oferta de compra;Última oferta de venda;Quantidade de negócios;Quantidade de contratos;Volume financeiro
BGIF26C027000;BRBMEFBC00Q7;AGRIBUSINESS;-;-;-;-;-;-;-;-;54,87;-;-;-;-;-;-;-
BGIF26C029000;BRBMEFBC0106;AGRIBUSINESS;-;-;-;-;-;-;-;-;34,88;-;-;-;-;-;-;-
BGIF26C029500;BRBMEFBC00W5;AGRIBUSINESS;-;-;-;-;-;-;-;-;29,89;-;-;-;-;-;-;-
BGIF26C030000;BRBMEFBC00K0;AGRIBUSINESS;25;25;25;25;25;0;-;-;24,91;-;-;-;-;2;534;4405500
BGIF26C030500;BRBMEFBC01O0;AGRIBUSINESS;-;-;-;-;-;-;-;-;20;-;-;-;-;-;-;-
BGIF26C031000;BRBMEFBC00X3;AGRIBUSINESS;-;-;-;-;-;-;-;-;15,22;-;-;-;-;-;-;-
BGIF26C031500;BRBMEFBC00T1;AGRIBUSINESS;-;-;-;-;-;-;-;-;10,6;-;-;-;-;-;-;-
BGIF26C031600;BRBMEFBC0114;AGRIBUSINESS;-;-;-;-;-;-;-;-;9,71;-;-;-;-;-;-;-
BGIF26C031700;BRBMEFBC0122;AGRIBUSINESS;-;-;-;-;-;-;-;-;8,83;-;-;-;-;-;-;-
BGIF26C031800;BRBMEFBC0130;AGRIBUSINESS;-;-;-;-;-;-;-;-;7,98;-;-;-;-;-;-;-
BGIF26C031900;BRBMEFBC0148;AGRIBUSINESS;-;-;-;-;-;-;-;-;7,15;-;-;-;-;-;-;-
BGIF26C032000;BRBMEFBC00R5;AGRIBUSINESS;-;-;-;-;-;-;-;-;6,3;-;-;-;-;-;-;-
BGIF26C032100;BRBMEFBC01P7;AGRIBUSINESS;-;-;-;-;-;-;-;-;5,47;-;-;-;-;-;-;-
BGIF26C032300;BRBMEFBC01K8;AGRIBUSINESS;-;-;-;-;-;-;-;-;3,87;-;-;-;-;-;-;-
BGIF26C032500;BRBMEFBC00N4;AGRIBUSINESS;1;1;1;1;1;-52,6;-;-;2,34;-;-;-;-;1;2;660
BGIF26C032600;BRBMEFBC01L6;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,54;-;-;-;-;-;-;-
BGIF26C032700;BRBMEFBC01J0;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,74;-;-;-;-;-;-;-
BGIF26C032900;BRBMEFBC01H4;AGRIBUSINESS;0,1;0,1;0,1;0,1;0,1;-90;-;-;0,01;-;-;-;-;2;4;132
BGIF26C033000;BRBMEFBC00V7;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C033100;BRBMEFBC0155;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C033200;BRBMEFBC00M6;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C033300;BRBMEFBC0163;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C033400;BRBMEFBC0171;AGRIBUSINESS;0,1;0,1;0,1;0,1;0,1;-98,4;-;-;0,01;-;-;-;-;1;2;66
BGIF26C033500;BRBMEFBC00P9;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C033600;BRBMEFBC0189;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C033700;BRBMEFBC0197;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C033800;BRBMEFBC01A9;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C033900;BRBMEFBC01B7;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C034000;BRBMEFBC00U9;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C034100;BRBMEFBC01M4;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C034200;BRBMEFBC01D3;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C034500;BRBMEFBC00S3;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C034600;BRBMEFBC01E1;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C034800;BRBMEFBC01F8;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C035000;BRBMEFBC00L8;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C035300;BRBMEFBC01G6;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C035400;BRBMEFBC01I2;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C035500;BRBMEFBC01C5;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C035600;BRBMEFBC01N2;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C036000;BRBMEFBC00Z8;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C036500;BRBMEFBC00Y1;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26C037000;BRBMEFBC00O2;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26P027000;BRBMEFBF0046;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26P029000;BRBMEFBF00E6;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26P029500;BRBMEFBF00A4;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,01;-;-;-;-;-;-;-
BGIF26P030000;BRBMEFVBFZY5;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,03;-;-;-;-;-;-;-
BGIF26P030500;BRBMEFBF0129;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,11;-;-;-;-;-;-;-
BGIF26P031000;BRBMEFBF00B2;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,33;-;-;-;-;-;-;-
BGIF26P031500;BRBMEFBF0079;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,71;-;-;-;-;-;-;-
BGIF26P031600;BRBMEFBF00F3;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,81;-;-;-;-;-;-;-
BGIF26P031700;BRBMEFBF00G1;AGRIBUSINESS;-;-;-;-;-;-;-;-;0,94;-;-;-;-;-;-;-
BGIF26P031800;BRBMEFBF00H9;AGRIBUSINESS;-;-;-;-;-;-;-;-;1,08;-;-;-;-;-;-;-
