,Total,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,Total,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,Total,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,Total,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,Total,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,Total,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,Total,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,Total,Total,2025-01-15,2025-01-16,2025-01-17,2025-01-20,2025-01-21,2025-01-22,2025-01-23,2025-01-24,Total
Total,0.0,43.766999999999825,109.3690000000006,-40.92899999999918,-53.043000000001484,-57.03899999999976,-288.704999999999,-83.64900000000216,-7.77599999999893,-378.0050000000001,43.766999999999825,109.3690000000006,-40.92899999999918,-53.043000000001484,-57.03899999999976,-288.704999999999,-83.64900000000216,-7.77599999999893,-378.0050000000001,43.766999999999825,109.3690000000006,-40.92899999999918,-53.043000000001484,-57.03899999999976,-288.704999999999,-83.64900000000216,-7.77599999999893,-378.0050000000001,87.53399999999965,218.7380000000012,-81.85799999999836,-106.08600000000297,-114.07799999999952,-577.409999999998,-167.29800000000432,-15.55199999999786,-756.0100000000002,131.30099999999948,328.1070000000018,-122.78699999999753,-159.12900000000445,-171.11699999999928,-866.114999999997,-250.94700000000648,-23.32799999999679,-1134.0150000000003,43.766999999999825,109.3690000000006,-40.92899999999918,-53.043000000001484,-57.03899999999976,-288.704999999999,-83.64900000000216,-7.77599999999893,-378.0050000000001,43.766999999999825,109.3690000000006,-40.92899999999918,-53.043000000001484,-57.03899999999976,-288.704999999999,-83.64900000000216,-7.77599999999893,-378.0050000000001,0.0,437.66999999999825,1093.690000000006,-409.2899999999918,-530.4300000000148,-570.3899999999976,-2887.04999999999,-836.4900000000216,-77.7599999999893,-3780.050000000001
WDO1 - 2025-01-15,,43.766999999999825,37.801000000000386,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-89.33500000000004,43.766999999999825,37.801000000000386,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-89.33500000000004,43.766999999999825,37.801000000000386,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-89.33500000000004,87.53399999999965,75.60200000000077,-14.997999999999593,-35.36200000000099,-38.02599999999984,-192.46999999999935,-55.76600000000144,-5.183999999999287,-178.67000000000007,131.30099999999948,113.40300000000116,-22.49699999999939,-53.043000000001484,-57.03899999999976,-288.704999999999,-83.64900000000216,-7.77599999999893,-268.0050000000001,43.766999999999825,37.801000000000386,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-89.33500000000004,43.766999999999825,37.801000000000386,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-89.33500000000004,,437.66999999999825,378.01000000000386,-74.98999999999796,-176.81000000000495,-190.1299999999992,-962.3499999999967,-278.8300000000072,-25.919999999996435,-893.3500000000004
WDO1 - 2025-01-16,,,71.56800000000021,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-99.33500000000004,,71.56800000000021,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-99.33500000000004,,71.56800000000021,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-99.33500000000004,,143.13600000000042,-14.997999999999593,-35.36200000000099,-38.02599999999984,-192.46999999999935,-55.76600000000144,-5.183999999999287,-198.67000000000007,,214.70400000000063,-22.49699999999939,-53.043000000001484,-57.03899999999976,-288.704999999999,-83.64900000000216,-7.77599999999893,-298.0050000000001,,71.56800000000021,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-99.33500000000004,,71.56800000000021,-7.498999999999796,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-99.33500000000004,,,715.6800000000021,-74.98999999999796,-176.81000000000495,-190.1299999999992,-962.3499999999967,-278.8300000000072,-25.919999999996435,-993.3500000000004
WDO1 - 2025-01-17,,,,-25.930999999999585,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-189.33500000000004,,,-25.930999999999585,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-189.33500000000004,,,-25.930999999999585,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-189.33500000000004,,,-51.86199999999917,-35.36200000000099,-38.02599999999984,-192.46999999999935,-55.76600000000144,-5.183999999999287,-378.6700000000001,,,-77.79299999999876,-53.043000000001484,-57.03899999999976,-288.704999999999,-83.64900000000216,-7.77599999999893,-568.0050000000001,,,-25.930999999999585,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-189.33500000000004,,,-25.930999999999585,-17.681000000000495,-19.01299999999992,-96.23499999999967,-27.88300000000072,-2.5919999999996435,-189.33500000000004,,,,-259.30999999999585,-176.81000000000495,-190.1299999999992,-962.3499999999967,-278.8300000000072,-25.919999999996435,-1893.3500000000004
